id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
4309719,i want you (what’s your style? ),6bbbf93de953b2990c1eb59d1065e5c9efd0f1fc073a0ee1cc38a472946eebf4,[],51+0+2+,10+0+3261+1468+76+490+96+1184+300+1625+,"['Moon Byulyi | Moonbyul', 'Kim Namjoon | Rap Monster', 'lapslock', 'mannequins', 'Infatuation', 'bts - Freeform', 'bangtan - Freeform', 'Jungkook-centric', 'jungkook - Freeform', 'mamamoo - Freeform', 'moonbyul', 'AU', 'i slaved too long at this', 'should i make this into a sequel', 'namjoon - Freeform', 'seokjin - Freeform', 'neighbourhood']",en,3717,1/1,10,119,10,2355,2015-07-21,T,O,C,C
4388516,"kiss, kiss, kiss, you, you, you",b30aec6e360cc7717c88a6260af07f55c38d8c94297a080c5144e5144f9a308a,[],2+3+5+0+4+1+,65+,"['Kim Namjoon | Rap Monster/Min Yoongi | Suga', 'Kim Namjoon | Rap Monster']",en,1509,1/1,8,342,38,4671,2015-07-21,T,M,C,C
4390796,Tell Me a Lie,12068db090383e066b122a60f5587bb798e5863b9fce7d0278ca6a58a111da09,[],9+2+1+,96+,"['Kim Namjoon | Rap Monster', 'Namjoon has like a small appearance and the others are mentioned but', ""other than that there's only yoongi and jimin"", ""i wrote this at like 2 a.m. i don't even know how this came to be i am sappy"", 'what do i even define this as', 'supposed to be one night sand', ""yoongi denies having feelings and jimin isn't losing that game"", 'University AU']",en,1625,1/1,12,128,9,1278,2015-07-21,N,M,CN,C
4391687,Love You to Death,bbb1382b9d4c454c8856ab124182c9219be1937d8ad2f7cea021c63ae08dfd8c,[],9+16+1+2+4+0+,2+1117+142+,"['Mentions of - Character', 'Yoongi is an asshole', 'And Jin the definition of Mean Girl', 'Sorry Chim Chim']",en,836,1/1,14,57,3,1636,2015-07-21,G,M,N,C
4391765,Vertical Limit,8d2e95496a207d9a7fa9521efe999630adb2d8fffc26e28594e831c6e7edc5a8,[],9+5+3+0+2+1+,2+,"['Kim Namjoon | Rap Monster', 'maybe a bit of fluff?? if you squint', 'also 95 line as the brotp', 'teen titans au', 'my stupid atempt at angst', 'is this even angst??', 'this is kind of a gender switch but not really? Starfire and Raven are both girls', ""but I thought that Yoongi and Jimin fit these characters the best. They're still boys in this fic!"", 'jungkook is just mentioned a lot']",en,1387,1/1,3,50,1,838,2015-07-21,T,M,C,C
4391801,it's in the stars,f8f58b370d4ed09665918776631f8db79ca8b365133eb54a53bd6f6b353ef575,[],11+3+1+,0+515+,"['Cuddling', 'tae being a cute little shit', 'jimin being a sweet bf', 'Pre-Established Relationship', 'tae is really into astrology']",en,1103,1/1,11,250,28,3077,2015-07-21,G,M,C,C
4393253,hold up,22a430f0282ef24a462ee85c012a64c037379576a6d1759f62c4e21dac46de88,[],11+3+1+,0+35+1070+,[],en,947,1/1,7,162,8,2502,2015-07-21,N,M,CN,C
4393685,Brave,8409d4820ab38f710d2e0f25aa891f5d054b0457d547649386e87edfa960872c,[],8+0+1+2+3+4+5+,12+5+48+,"['Kim Namjoon | Rap Monster', 'very bad smut', 'Mute AU', 'jikook - Freeform', 'jungkook goes through a lot of shit', 'poor Kookie']",en,26650,1/1,81,1462,279,35855,2015-07-21,M,M,C,C
4394531,I Swear This Time I Mean It,32daed9fe581124cb8baa844c8609b0dffde0461646e771059c5a6ebeb0207fa,[],9+2+1+,483+2103+2507+,[],en,2113,1/1,23,590,56,6755,2015-07-21,N,M,N,C
4394648,[Im]Perfect Picture,32daed9fe581124cb8baa844c8609b0dffde0461646e771059c5a6ebeb0207fa,[],4+,96+2+202+367+,"['Kim Namjoon | Rap Monster/Kim Seokjin | Jin', 'Kim Namjoon | Rap Monster', 'Mentions of Smut', 'i guess', 'i dont know how to tag this actually', 'A Bit of Fluff']",en,2176,1/1,8,110,13,1574,2015-07-21,N,M,CN,C
